# Single SKU Max Power Table                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 14 30 30                                                
Ch2 14 30 30                                                
Ch3 14 30 30                                                
Ch4 17 30 30                                                
Ch5 17 30 30                                                
Ch6 17 30 30                                                
Ch7 17 30 30                                                
Ch8 17 30 30                                                
Ch9 14 30 30                                                
Ch10 14 30 30                                                
Ch11 14 30 30                                                
Ch12 30 30 30                                                
Ch13 30 30 30                                                
Ch14 30 30 30                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 30 30 30                                                
Ch188 30 30 30                                                
Ch192 30 30 30                                                
Ch196 30 30 30                                                
Ch8 30 30 30                                                
Ch12 30 30 30                                                
Ch16 30 30 30                                                
Ch36 20 30 30                                                
Ch40 20 30 30                                                
Ch44 20 30 30                                                
Ch48 20 30 30                                                
Ch52 16 30 30                                                
Ch56 16 30 30                                                
Ch60 16 30 30                                                
Ch64 16 30 30                                                
Ch68 30 30 30                                                
Ch72 30 30 30                                                
Ch76 30 30 30                                                
Ch80 30 30 30                                                
Ch84 30 30 30                                                
Ch88 30 30 30                                                
Ch92 30 30 30                                                
Ch96 30 30 30                                                
Ch100 16 30 30                                                
Ch104 16 30 30                                                
Ch108 16 30 30                                                
Ch112 16 30 30                                                
Ch116 16 30 30                                                
Ch120 16 30 30                                                
Ch124 16 30 30                                                
Ch128 16 30 30                                                
Ch132 16 30 30                                                
Ch136 16 30 30                                                
Ch140 16 30 30                                                
Ch144 16 30 30                                                
Ch149 21 30 30                                                
Ch153 21 30 30                                                
Ch157 21 30 30                                                
Ch161 21 30 30                                                
Ch165 21 30 30                                                
Ch169 30 30 30                                                
Ch173 30 30 30                                                
Ch177 30 30 30                                                
Ch181 30 30 30                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
