# Single SKU Max Power Table
# |CCK 1~11  | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                  |
ch1 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch2 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch3 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch4 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch5 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch6 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch7 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch8 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch9 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch10 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch11 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch12 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch13 15 15 15 15 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 14 14 14 14 14 14 14 14
ch14 23 23 23 23
# End of Single SKU Table
